"ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"9806"	"NAPB"	-5.26445953022277	6.02445791506323	-149.011076825263	7.05294954593404e-19	2.11096117805909e-16
"15137"	"TMOD2"	-5.02796747775863	4.41807908866841	-148.955333641731	7.05758620149968e-19	2.11096117805909e-16
"14638"	"TCEAL5"	-6.47321912277424	3.58644672487882	-148.562529706095	7.42746006858007e-19	2.18328908119348e-16
"13685"	"SLC6A1"	-7.01589265978008	3.90857889696628	-148.255865741316	7.6716207041585e-19	2.21683832856268e-16
"6882"	"IGJ"	8.36203787984408	5.02263624179087	148.310620861218	7.87408311232373e-19	2.23742071636679e-16
"3421"	"CRTAM"	-5.52731759776548	3.08116275905239	-146.926197483465	8.19186666120581e-19	2.28955958535898e-16
"7275"	"KCNJ9"	-6.21124191496691	3.45086585963496	-145.799454463652	8.97518390034484e-19	2.46786383675946e-16
"14165"	"SRRM4"	-5.06020789552659	2.90328897049519	-145.258305312988	9.15734222730953e-19	2.46786383675946e-16
"13972"	"SOX2-OT"	-5.86770166987547	4.27931977943698	-145.267818008598	9.26407915728814e-19	2.46786383675946e-16
"3189"	"CNTNAP4"	-4.95706007674473	3.40837946496646	-144.729980362272	9.49656568072807e-19	2.49087612754974e-16
"2267"	"CAMK2B"	-6.98556724120186	4.55957983896554	-145.005348367563	9.64327928268201e-19	2.49103437106736e-16
"9966"	"NEFM"	-7.34661164974252	5.11955923295301	-144.736757898764	9.90589557602455e-19	2.5058985336242e-16
"10277"	"NRXN3"	-5.88773382789268	3.63205149544005	-144.210544686864	9.99478563472612e-19	2.5058985336242e-16
"6140"	"GRM3"	-5.46135237143934	3.0510326660883	-143.751234132106	1.02589627931141e-18	2.53485589362033e-16
"7129"	"ITGB7"	7.70887362043184	5.26608073305394	144.017983285761	1.05129918316742e-18	2.56051425340304e-16
"2323"	"CARTPT"	-4.98613080632196	2.78338259712955	-142.905333317542	1.08326260436899e-18	2.58451210056283e-16
"13474"	"SLC1A3"	-5.8538768025249	5.94569356764584	-142.9804813283	1.09147088533359e-18	2.58451210056283e-16
"11490"	"PPFIA2"	-4.96857616768834	3.08807566732785	-142.353777806422	1.12723027639082e-18	2.63262314824481e-16
"12226"	"RBFOX1"	-6.33968995622478	3.82915661800551	-142.016034197881	1.18093014359361e-18	2.72076729974695e-16
"7809"	"LIN28A"	6.17296392319121	3.75561647816702	141.142020839596	1.25491122891084e-18	2.85266420556012e-16
"321"	"AFP"	8.73770329881443	5.36802234851271	141.416947112822	1.29971543886259e-18	2.91563796278529e-16
"2919"	"CHGA"	-7.26784362976742	4.23705867244964	-140.034540795716	1.39173090865716e-18	3.08150912489557e-16
"6513"	"HJURP"	5.12280869041287	3.24100454267506	138.764537694534	1.4710501816184e-18	3.17581735769734e-16
"6114"	"GRIA3"	-5.36339534457611	3.06445701789436	-138.805237651261	1.47157939619972e-18	3.17581735769734e-16
"1834"	"C1QB"	-6.55436342004839	3.56746758468636	-138.599757383247	1.52556403389686e-18	3.25116765173844e-16
"8901"	"MAP2"	-6.68388927579087	4.78835376524901	-137.956155864541	1.60494440178478e-18	3.37619576765786e-16
"2795"	"CELF3"	-5.04838888503049	3.02315791977707	-137.432337392895	1.62383748576424e-18	3.37619576765786e-16
"13016"	"SCN2B"	-6.37938695654903	3.54901739653831	-135.452521184848	1.92823727523041e-18	3.95273937896157e-16
"10275"	"NRXN1"	-6.08424363787243	3.62085765210135	-135.250841994012	1.94750488493619e-18	3.95273937896157e-16
"14239"	"ST8SIA3"	-4.93809094492885	2.91064370786657	-134.47336632988	2.03106574754201e-18	4.02521326225221e-16
"5590"	"GABRG2"	-6.26749958606674	3.85595021981587	-134.534795312946	2.06437175577721e-18	4.02521326225221e-16
"4079"	"DNM3"	-6.0305207372919	3.71629190198065	-134.175125928307	2.11319282342271e-18	4.02521326225221e-16
"14440"	"SYN2"	-6.86167208670093	4.39744750141066	-134.349848019412	2.11856859228244e-18	4.02521326225221e-16
"5574"	"GABBR2"	-5.74136072922148	3.91637147179005	-134.017933804665	2.12838423458775e-18	4.02521326225221e-16
"3039"	"CLCN4"	-4.77636992927367	3.78378197331175	-133.667424069432	2.15719836280269e-18	4.02521326225221e-16
"11925"	"PTPN5"	-5.77180144759918	3.30728946955322	-133.631340240111	2.1940617710769e-18	4.02521326225221e-16
"2944"	"CHN1"	-5.85490894442942	6.8530728223133	-133.646719373387	2.19452383946606e-18	4.02521326225221e-16
"14216"	"ST18"	-4.93080046891061	2.78377778360272	-133.447593347577	2.19830749903187e-18	4.02521326225221e-16
"396"	"AK5"	-5.74701084384486	4.74894132616002	-133.478315076848	2.21930932401729e-18	4.02521326225221e-16
"3137"	"CNDP1"	-6.69032898475333	3.83192845150494	-133.53424005419	2.24848364140764e-18	4.03519974761671e-16
"11618"	"PRAME"	7.62317824594379	4.60745187915249	133.381968656052	2.32068643814994e-18	4.1213940712519e-16
"7133"	"ITIH2"	5.38904796325891	4.61679503121985	132.666037076774	2.35070167222819e-18	4.13166111441426e-16
"14469"	"SYT13"	-5.08294836011253	3.87223477131195	-132.123811348486	2.44190091425902e-18	4.24816007012265e-16
"4681"	"ERMN"	-6.99368826172658	4.20836900620474	-132.382504750547	2.47462507176668e-18	4.25944876393564e-16
"13232"	"SEZ6L"	-4.90712979090283	3.82735625938691	-131.803612379501	2.49835694992999e-18	4.25944876393564e-16
"15649"	"TYR"	6.1772699282914	3.77207859786995	131.757838718703	2.55724428624117e-18	4.31667899367581e-16
"13438"	"SLC12A5"	-6.74373702528127	4.10225812489772	-130.633070670258	2.82517804567316e-18	4.72220200987076e-16
"9851"	"NCALD"	-4.48365035154387	4.79546453075081	-130.052756200664	2.85563066581735e-18	4.72676186616699e-16
"7245"	"KCND2"	-5.24146819134411	3.09854321468939	-129.486652348805	3.01475903938457e-18	4.94217565985265e-16
"3179"	"CNTN1"	-5.49850511442377	4.70008104830281	-129.19939914569	3.09655091285374e-18	5.02791395364223e-16
"12420"	"RHAG"	6.16766997677498	3.72878522518288	129.07665941665	3.16274841809428e-18	5.08695262076315e-16
"15307"	"TPX2"	5.09256701756219	4.57291260298372	128.579550688963	3.23556636177945e-18	5.14628699062233e-16
"5243"	"FGA"	6.39685469348409	3.88246984825491	128.752708432507	3.2600093553124e-18	5.14628699062233e-16
"10001"	"NEUROD6"	-4.65879468057455	2.62486061823832	-127.347717788816	3.55566385218508e-18	5.55511327057138e-16
"15714"	"UBE2QL1"	-4.77529771300061	3.49342933579895	-127.265550551805	3.58415425985601e-18	5.55511327057138e-16
"9380"	"MOG"	-7.4559932193762	4.18729196477527	-127.53529448568	3.67622982083099e-18	5.64649028967095e-16
"11065"	"PHYHIP"	-7.71277231778204	5.04886960609508	-127.494688306289	3.70936491552499e-18	5.64651450399871e-16
"525"	"AMPH"	-5.88131462918507	4.03025077653863	-126.615926516027	3.84003088180788e-18	5.79368907114535e-16
"9800"	"NAP1L2"	-5.2975861130066	4.66540092099479	-126.184786778351	3.94138052625942e-18	5.85563800667062e-16
"439"	"ALB"	9.16409385096554	5.9608136953706	127.133302979254	3.94978222046525e-18	5.85563800667062e-16
"5273"	"FGG"	6.72782365598856	4.07537082516779	126.213763549271	4.03205232551544e-18	5.89848472653017e-16
"1463"	"BUB1"	5.37051681130655	3.50642076016565	125.872924944406	4.04787795767511e-18	5.89848472653017e-16
"4701"	"ESRG"	5.0742922110087	3.26823192385587	125.554065246809	4.13829597537186e-18	5.97913627831481e-16
"13668"	"SLC4A10"	-5.42684778358913	3.37638109779556	-125.435579550841	4.19980352469078e-18	6.01701262961791e-16
"5661"	"GAP43"	-5.87256140805636	6.03056067129845	-125.397779164558	4.24327990163529e-18	6.02863992024834e-16
"6306"	"HBB"	-8.22220727541875	4.44631021860421	-125.735312201363	4.33253109442938e-18	6.1045721180931e-16
"4168"	"DSCAM-AS1"	6.39982732265932	3.89158401678903	124.775945472711	4.51020678070469e-18	6.27106281601017e-16
"2231"	"CACNG2"	-4.65520832432181	2.63249240568908	-124.415770259978	4.5242578823934e-18	6.27106281601017e-16
"3646"	"CYP46A1"	-5.66816804933896	3.42875778945801	-124.179524046222	4.67822834643318e-18	6.37880710166037e-16
"1098"	"ATP6V1G2"	-7.36206034436533	5.62477973890506	-124.542501030678	4.69025632429089e-18	6.37880710166037e-16
"1464"	"BUB1B"	4.84461691310637	3.31788757662328	123.947867683126	4.71423364894836e-18	6.37880710166037e-16
"3900"	"DHRS2"	7.21540357951502	4.7912631598655	124.179980285062	4.81858099366754e-18	6.4397019713064e-16
"10081"	"NKAIN2"	-4.99046945642387	2.8727410601536	-123.667210078878	4.83478123248999e-18	6.4397019713064e-16
"2930"	"CHL1"	-5.47341813433628	3.44491971964809	-123.611660350752	4.89035507562495e-18	6.4632297429713e-16
"1022"	"ATL1"	-4.67033142220995	4.3635260548677	-123.285772084292	4.97288390457454e-18	6.52174597608394e-16
"16656"	"ZNF365"	-5.41825251132555	3.90728661097264	-123.220045579071	5.04931990538497e-18	6.57143931808461e-16
"5256"	"FGF14"	-4.69160762040386	2.81300845265238	-122.939857841584	5.120737810782e-18	6.57919040468252e-16
"11770"	"PRSS1"	5.38758786245778	3.34114134058366	123.020226374552	5.13245541570048e-18	6.57919040468252e-16
"1836"	"C1QC"	-6.02404092748893	3.31427740629168	-122.897345676223	5.24005395290864e-18	6.66699103307011e-16
"730"	"APOH"	7.70507234241659	4.5402018546387	123.183668480065	5.29375619546273e-18	6.67794408148456e-16
"2956"	"CHRM1"	-5.09776572864073	2.94483050663216	-122.530132168631	5.32700096827908e-18	6.67794408148456e-16
"4217"	"DUSP26"	-5.83947976297398	3.53834017608927	-122.542683159119	5.38179403694577e-18	6.69738733838602e-16
"2244"	"CADPS"	-4.99487767652236	3.9886065617953	-121.920803282105	5.60138707957451e-18	6.92014842896129e-16
"8778"	"LYNX1"	-5.63568406407733	4.39301253614517	-121.704450767821	5.75837741667757e-18	7.0325013347898e-16
"9202"	"MFSD4"	-5.30214393165353	3.57506713703065	-121.498214201403	5.83055191430509e-18	7.0325013347898e-16
"9672"	"MYB"	5.22674819585791	3.42104786120325	121.395053477632	5.87570380897471e-18	7.0325013347898e-16
"14745"	"TFPI2"	6.76102009124249	4.35008906340754	121.607365206287	5.92719284375631e-18	7.0325013347898e-16
"5897"	"GNAO1"	-6.0314342914145	5.17929929808384	-121.435587189573	5.93126413916948e-18	7.0325013347898e-16
"3351"	"CPS1"	5.19475347473941	4.61807138732231	121.262521019613	5.93982164472832e-18	7.0325013347898e-16
"7029"	"IPCEF1"	-4.95383220244079	2.96123292435205	-120.989565936997	6.06059118035885e-18	7.12600131268538e-16
"15809"	"UNC13C"	-4.9241910709116	3.27180844024019	-120.564012568387	6.28323608276948e-18	7.33718438185869e-16
"5685"	"GATM"	-5.14228845399924	4.78079739467781	-120.350307159583	6.41775624389284e-18	7.44328749674348e-16
"14439"	"SYN1"	-6.80437912191488	4.93958101502362	-120.529868123637	6.50450918110439e-18	7.4929308803141e-16
"7229"	"KCNA1"	-4.84622162616997	2.76905394549961	-119.881649930562	6.65686167253875e-18	7.61696876879954e-16
"14204"	"SST"	-5.86422391682345	3.28217083799696	-119.875357447448	6.7604318769982e-18	7.68390687139615e-16
"505"	"AMBP"	7.66394633578104	4.62947893815648	120.123368789218	6.86094946288718e-18	7.74651174786513e-16
"6311"	"HBG1"	9.0002865669774	5.85668320099325	120.205935183212	7.02468755521313e-18	7.87920382426504e-16
"4305"	"EDIL3"	-5.78034613447756	4.29325821252083	-119.218130652253	7.14588717811011e-18	7.95711817474024e-16
"1431"	"BSN"	-5.05378751447239	3.30688805491402	-119.025987459845	7.18749603443015e-18	7.95711817474024e-16
"3146"	"CNKSR2"	-4.87716549166206	3.95562557800544	-118.721395081669	7.3641236390015e-18	8.10006089815074e-16
"14316"	"STMN4"	-7.91293623169489	4.35339535819563	-118.827730562211	7.71840590832882e-18	8.43532707250628e-16
"4857"	"FAM123A"	-5.42622122417761	3.16487732803523	-118.070181593452	7.85373916022955e-18	8.47898623691819e-16
